,to_cbsa_info_CBSA Title,Total Perm,Total Temp,all_moves
1,"Miami-Fort Lauderdale-Pompano Beach, FL",21604,23848,45452
2,"Bridgeport-Stamford-Norwalk, CT",15325,4148,19473
3,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",14330,2617,16947
4,"Los Angeles-Long Beach-Anaheim, CA",11589,3270,14859
5,"Poughkeepsie-Newburgh-Middletown, NY",10352,2953,13305
6,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6090,2435,8525
7,"Boston-Cambridge-Newton, MA-NH",5600,2619,8219
8,NO_CBSA,2142,4835,6977
9,"Tampa-St. Petersburg-Clearwater, FL",4978,1846,6824
10,"Trenton-Princeton, NJ",5672,637,6309
11,"Kingston, NY",2769,3247,6016
12,"Allentown-Bethlehem-Easton, PA-NJ",5249,361,5610
13,"Orlando-Kissimmee-Sanford, FL",5057,535,5592
14,"Atlanta-Sandy Springs-Alpharetta, GA",4832,710,5542
15,"Chicago-Naperville-Elgin, IL-IN-WI",3523,1156,4679
16,"Naples-Marco Island, FL",1391,3271,4662
17,"New Haven-Milford, CT",3283,1045,4328
18,"San Francisco-Oakland-Berkeley, CA",3415,884,4299
19,"North Port-Sarasota-Bradenton, FL",1630,2478,4108
20,"Cape Coral-Fort Myers, FL",1661,2413,4074
21,"Torrington, CT",1237,2544,3781
22,"Houston-The Woodlands-Sugar Land, TX",3121,525,3646
23,"Charlotte-Concord-Gastonia, NC-SC",3196,394,3590
24,"Hudson, NY",1150,2349,3499
25,"Albany-Schenectady-Troy, NY",2330,968,3298
26,"Phoenix-Mesa-Chandler, AZ",2343,937,3280
27,"Dallas-Fort Worth-Arlington, TX",2807,462,3269
28,"Raleigh-Cary, NC",2806,392,3198
29,"Hartford-East Hartford-Middletown, CT",2009,990,2999
30,"Seattle-Tacoma-Bellevue, WA",2336,389,2725
31,"San Diego-Chula Vista-Carlsbad, CA",1995,670,2665
32,"Port St. Lucie, FL",819,1801,2620
33,"East Stroudsburg, PA",2051,530,2581
34,"Pittsfield, MA",585,1982,2567
35,"Providence-Warwick, RI-MA",1077,1338,2415
36,"Austin-Round Rock-Georgetown, TX",2051,330,2381
37,"Buffalo-Cheektowaga, NY",2008,365,2373
38,"Barnstable Town, MA",539,1825,2364
39,"Baltimore-Columbia-Towson, MD",1450,614,2064
40,"Denver-Aurora-Lakewood, CO",1559,197,1756
41,"San Jose-Sunnyvale-Santa Clara, CA",1327,301,1628
42,"Portland-South Portland, ME",670,798,1468
43,"Detroit-Warren-Dearborn, MI",904,529,1433
44,"Las Vegas-Henderson-Paradise, NV",1201,226,1427
45,"Pittsburgh, PA",901,516,1417
46,"Rochester, NY",968,441,1409
47,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",1250,109,1359
48,"Scranton--Wilkes-Barre, PA",1206,117,1323
49,"Atlantic City-Hammonton, NJ",1009,284,1293
50,"Nashville-Davidson--Murfreesboro--Franklin, TN",1050,113,1163
51,"Jacksonville, FL",827,283,1110
52,"Minneapolis-St. Paul-Bloomington, MN-WI",775,332,1107
53,"Lakeland-Winter Haven, FL",987,108,1095
54,"Syracuse, NY",745,348,1093
55,"Cleveland-Elyria, OH",675,410,1085
56,"Columbus, OH",627,292,919
57,"Sebastian-Vero Beach, FL",197,710,907
58,"Portland-Vancouver-Hillsboro, OR-WA",763,131,894
59,"Palm Bay-Melbourne-Titusville, FL",538,333,871
60,"Charleston-North Charleston, SC",537,333,870
61,"Norwich-New London, CT",383,480,863
62,"Riverside-San Bernardino-Ontario, CA",477,386,863
63,"Salisbury, MD-DE",509,288,797
64,"Springfield, MA",386,403,789
65,"Deltona-Daytona Beach-Ormond Beach, FL",511,252,763
66,"Durham-Chapel Hill, NC",546,187,733
67,"Richmond, VA",582,100,682
68,"Worcester, MA-CT",380,259,639
69,"Cincinnati, OH-KY-IN",406,184,590
70,"Vineyard Haven, MA",51,478,529
71,"Reading, PA",455,69,524
72,"Lebanon, NH-VT",107,396,503
73,"Ocean City, NJ",169,319,488
74,"Binghamton, NY",413,74,487
75,"The Villages, FL",143,306,449
76,"Hilton Head Island-Bluffton, SC",279,157,436
77,"Boulder, CO",332,101,433
78,"St. Louis, MO-IL",270,162,432
79,"Ithaca, NY",241,191,432
80,"Salt Lake City, UT",332,98,430
81,"Burlington-South Burlington, VT",242,181,423
82,"Urban Honolulu, HI",257,125,382
83,"Punta Gorda, FL",89,281,370
84,"Bennington, VT",90,279,369
85,"Ann Arbor, MI",249,100,349
86,"San Antonio-New Braunfels, TX",292,45,337
87,"Greensboro-High Point, NC",258,74,332
88,"Tucson, AZ",189,136,325
89,"Key West, FL",26,298,324
90,"Indianapolis-Carmel-Anderson, IN",246,69,315
91,"Asheville, NC",234,72,306
92,"New Orleans-Metairie, LA",248,34,282
