name,from_cbsa_info_CBSA Code,YYYYMM,net_inflow,net_inflow_temp,net_inflow_perm
"Lafayette, LA",29180.0,2019-01-01,-20,0,-20
"Lafayette, LA",29180.0,2019-02-01,-56,0,-56
"Lafayette, LA",29180.0,2019-03-01,42,0,42
"Lafayette, LA",29180.0,2019-04-01,34,0,34
"Lafayette, LA",29180.0,2019-05-01,-73,0,-73
"Lafayette, LA",29180.0,2019-06-01,-96,0,-96
"Lafayette, LA",29180.0,2019-07-01,25,0,25
"Lafayette, LA",29180.0,2019-08-01,14,0,14
"Lafayette, LA",29180.0,2019-09-01,4,0,4
"Lafayette, LA",29180.0,2019-10-01,7,0,7
"Lafayette, LA",29180.0,2019-11-01,-19,0,-19
"Lafayette, LA",29180.0,2019-12-01,-72,0,-72
"Lafayette, LA",29180.0,2020-01-01,-37,0,-37
"Lafayette, LA",29180.0,2020-02-01,43,0,43
"Lafayette, LA",29180.0,2020-03-01,31,0,31
"Lafayette, LA",29180.0,2020-04-01,48,0,48
"Lafayette, LA",29180.0,2020-05-01,40,0,40
"Lafayette, LA",29180.0,2020-06-01,-12,0,-12
"Lafayette, LA",29180.0,2020-07-01,12,0,12
"Lafayette, LA",29180.0,2020-08-01,68,50,18
"Lafayette, LA",29180.0,2020-09-01,368,131,237
"Lafayette, LA",29180.0,2020-10-01,267,32,235
"Lafayette, LA",29180.0,2020-11-01,150,17,133
"Lafayette, LA",29180.0,2020-12-01,96,14,82
"Boise City, ID",14260.0,2019-01-01,216,-166,382
"Boise City, ID",14260.0,2019-02-01,279,-16,295
"Boise City, ID",14260.0,2019-03-01,526,0,526
"Boise City, ID",14260.0,2019-04-01,879,183,696
"Boise City, ID",14260.0,2019-05-01,731,116,615
"Boise City, ID",14260.0,2019-06-01,831,13,818
"Boise City, ID",14260.0,2019-07-01,847,0,847
"Boise City, ID",14260.0,2019-08-01,799,-11,810
"Boise City, ID",14260.0,2019-09-01,565,-5,570
"Boise City, ID",14260.0,2019-10-01,129,-416,545
"Boise City, ID",14260.0,2019-11-01,142,-300,442
"Boise City, ID",14260.0,2019-12-01,-27,-236,209
"Boise City, ID",14260.0,2020-01-01,108,-131,239
"Boise City, ID",14260.0,2020-02-01,263,-21,284
"Boise City, ID",14260.0,2020-03-01,944,86,858
"Boise City, ID",14260.0,2020-04-01,777,105,672
"Boise City, ID",14260.0,2020-05-01,895,126,769
"Boise City, ID",14260.0,2020-06-01,836,33,803
"Boise City, ID",14260.0,2020-07-01,1052,2,1050
"Boise City, ID",14260.0,2020-08-01,1264,14,1250
"Boise City, ID",14260.0,2020-09-01,1172,-18,1190
"Boise City, ID",14260.0,2020-10-01,783,-342,1125
"Boise City, ID",14260.0,2020-11-01,651,-296,947
"Boise City, ID",14260.0,2020-12-01,555,-171,726
"Kirksville, MO",28860.0,2019-01-01,0,0,0
"Kirksville, MO",28860.0,2019-02-01,0,0,0
"Kirksville, MO",28860.0,2019-03-01,-12,0,-12
"Kirksville, MO",28860.0,2019-04-01,0,0,0
"Kirksville, MO",28860.0,2019-05-01,-77,0,-77
"Kirksville, MO",28860.0,2019-06-01,-29,0,-29
"Kirksville, MO",28860.0,2019-07-01,-13,0,-13
"Kirksville, MO",28860.0,2019-08-01,0,0,0
"Kirksville, MO",28860.0,2019-09-01,-14,0,-14
"Kirksville, MO",28860.0,2019-10-01,-12,0,-12
"Kirksville, MO",28860.0,2019-11-01,0,0,0
"Kirksville, MO",28860.0,2019-12-01,0,0,0
"Kirksville, MO",28860.0,2020-01-01,0,0,0
"Kirksville, MO",28860.0,2020-02-01,0,0,0
"Kirksville, MO",28860.0,2020-03-01,-11,0,-11
"Kirksville, MO",28860.0,2020-04-01,-11,0,-11
"Kirksville, MO",28860.0,2020-05-01,-70,0,-70
"Kirksville, MO",28860.0,2020-06-01,-43,0,-43
"Kirksville, MO",28860.0,2020-07-01,-11,0,-11
"Kirksville, MO",28860.0,2020-08-01,-13,0,-13
"Kirksville, MO",28860.0,2020-09-01,0,0,0
"Kirksville, MO",28860.0,2020-10-01,0,0,0
"Kirksville, MO",28860.0,2020-11-01,0,0,0
"Kirksville, MO",28860.0,2020-12-01,0,0,0
"Denver-Aurora-Lakewood, CO",19740.0,2019-01-01,-126,-574,448
"Denver-Aurora-Lakewood, CO",19740.0,2019-02-01,-38,-121,83
"Denver-Aurora-Lakewood, CO",19740.0,2019-03-01,23,-9,32
"Denver-Aurora-Lakewood, CO",19740.0,2019-04-01,1007,528,479
"Denver-Aurora-Lakewood, CO",19740.0,2019-05-01,1442,995,447
"Denver-Aurora-Lakewood, CO",19740.0,2019-06-01,800,254,546
"Denver-Aurora-Lakewood, CO",19740.0,2019-07-01,1344,87,1257
"Denver-Aurora-Lakewood, CO",19740.0,2019-08-01,822,9,813
"Denver-Aurora-Lakewood, CO",19740.0,2019-09-01,264,-63,327
"Denver-Aurora-Lakewood, CO",19740.0,2019-10-01,-1165,-928,-237
"Denver-Aurora-Lakewood, CO",19740.0,2019-11-01,-517,-515,-2
"Denver-Aurora-Lakewood, CO",19740.0,2019-12-01,-257,-539,282
"Denver-Aurora-Lakewood, CO",19740.0,2020-01-01,-139,-535,396
"Denver-Aurora-Lakewood, CO",19740.0,2020-02-01,288,-57,345
"Denver-Aurora-Lakewood, CO",19740.0,2020-03-01,229,66,163
"Denver-Aurora-Lakewood, CO",19740.0,2020-04-01,-23,60,-83
"Denver-Aurora-Lakewood, CO",19740.0,2020-05-01,1204,813,391
"Denver-Aurora-Lakewood, CO",19740.0,2020-06-01,537,390,147
"Denver-Aurora-Lakewood, CO",19740.0,2020-07-01,936,91,845
"Denver-Aurora-Lakewood, CO",19740.0,2020-08-01,731,92,639
"Denver-Aurora-Lakewood, CO",19740.0,2020-09-01,261,-44,305
"Denver-Aurora-Lakewood, CO",19740.0,2020-10-01,-922,-913,-9
"Denver-Aurora-Lakewood, CO",19740.0,2020-11-01,-368,-547,179
"Denver-Aurora-Lakewood, CO",19740.0,2020-12-01,-400,-538,138
"Quincy, IL-MO",39500.0,2019-01-01,0,0,0
"Quincy, IL-MO",39500.0,2019-02-01,12,0,12
"Quincy, IL-MO",39500.0,2019-03-01,-10,0,-10
"Quincy, IL-MO",39500.0,2019-04-01,-12,0,-12
"Quincy, IL-MO",39500.0,2019-05-01,6,0,6
"Quincy, IL-MO",39500.0,2019-06-01,11,0,11
"Quincy, IL-MO",39500.0,2019-07-01,-12,0,-12
"Quincy, IL-MO",39500.0,2019-08-01,4,0,4
"Quincy, IL-MO",39500.0,2019-09-01,-3,0,-3
"Quincy, IL-MO",39500.0,2019-10-01,-16,0,-16
"Quincy, IL-MO",39500.0,2019-11-01,8,0,8
"Quincy, IL-MO",39500.0,2019-12-01,0,0,0
"Quincy, IL-MO",39500.0,2020-01-01,-4,0,-4
"Quincy, IL-MO",39500.0,2020-02-01,-11,0,-11
"Quincy, IL-MO",39500.0,2020-03-01,-12,0,-12
"Quincy, IL-MO",39500.0,2020-04-01,-34,0,-34
"Quincy, IL-MO",39500.0,2020-05-01,-4,0,-4
"Quincy, IL-MO",39500.0,2020-06-01,-4,0,-4
"Quincy, IL-MO",39500.0,2020-07-01,-5,0,-5
"Quincy, IL-MO",39500.0,2020-08-01,0,0,0
"Quincy, IL-MO",39500.0,2020-09-01,-11,0,-11
"Quincy, IL-MO",39500.0,2020-10-01,-16,0,-16
"Quincy, IL-MO",39500.0,2020-11-01,0,0,0
"Quincy, IL-MO",39500.0,2020-12-01,-19,-13,-6
"Decatur, IN",19540.0,2019-01-01,-24,0,-24
"Decatur, IN",19540.0,2019-02-01,-33,0,-33
"Decatur, IN",19540.0,2019-03-01,-1,0,-1
"Decatur, IN",19540.0,2019-04-01,-16,0,-16
"Decatur, IN",19540.0,2019-05-01,9,0,9
"Decatur, IN",19540.0,2019-06-01,-13,0,-13
"Decatur, IN",19540.0,2019-07-01,10,0,10
"Decatur, IN",19540.0,2019-08-01,-2,0,-2
"Decatur, IN",19540.0,2019-09-01,10,0,10
"Decatur, IN",19540.0,2019-10-01,-4,0,-4
"Decatur, IN",19540.0,2019-11-01,12,0,12
"Decatur, IN",19540.0,2019-12-01,7,0,7
"Decatur, IN",19540.0,2020-01-01,31,0,31
"Decatur, IN",19540.0,2020-02-01,-7,0,-7
"Decatur, IN",19540.0,2020-03-01,-14,0,-14
"Decatur, IN",19540.0,2020-04-01,-12,0,-12
"Decatur, IN",19540.0,2020-05-01,-8,0,-8
"Decatur, IN",19540.0,2020-06-01,-25,0,-25
"Decatur, IN",19540.0,2020-07-01,-22,0,-22
"Decatur, IN",19540.0,2020-08-01,-4,0,-4
"Decatur, IN",19540.0,2020-09-01,32,0,32
"Decatur, IN",19540.0,2020-10-01,-18,0,-18
"Decatur, IN",19540.0,2020-11-01,17,0,17
"Decatur, IN",19540.0,2020-12-01,-11,0,-11
"Natchez, MS-LA",35020.0,2019-01-01,41,0,41
"Natchez, MS-LA",35020.0,2019-02-01,0,0,0
"Natchez, MS-LA",35020.0,2019-03-01,13,0,13
"Natchez, MS-LA",35020.0,2019-04-01,0,0,0
"Natchez, MS-LA",35020.0,2019-05-01,0,0,0
"Natchez, MS-LA",35020.0,2019-06-01,0,0,0
"Natchez, MS-LA",35020.0,2019-07-01,0,0,0
"Natchez, MS-LA",35020.0,2019-08-01,0,0,0
"Natchez, MS-LA",35020.0,2019-09-01,0,0,0
"Natchez, MS-LA",35020.0,2019-10-01,0,0,0
"Natchez, MS-LA",35020.0,2019-11-01,0,0,0
"Natchez, MS-LA",35020.0,2019-12-01,0,0,0
"Natchez, MS-LA",35020.0,2020-01-01,19,0,19
"Natchez, MS-LA",35020.0,2020-02-01,0,0,0
"Natchez, MS-LA",35020.0,2020-03-01,0,0,0
"Natchez, MS-LA",35020.0,2020-04-01,0,0,0
"Natchez, MS-LA",35020.0,2020-05-01,-16,0,-16
"Natchez, MS-LA",35020.0,2020-06-01,0,0,0
"Natchez, MS-LA",35020.0,2020-07-01,0,0,0
"Natchez, MS-LA",35020.0,2020-08-01,0,0,0
"Natchez, MS-LA",35020.0,2020-09-01,0,0,0
"Natchez, MS-LA",35020.0,2020-10-01,0,0,0
"Natchez, MS-LA",35020.0,2020-11-01,0,0,0
"Natchez, MS-LA",35020.0,2020-12-01,-23,0,-23
"Hastings, NE",25580.0,2019-01-01,-25,0,-25
"Hastings, NE",25580.0,2019-02-01,0,0,0
"Hastings, NE",25580.0,2019-03-01,0,0,0
"Hastings, NE",25580.0,2019-04-01,11,0,11
"Hastings, NE",25580.0,2019-05-01,9,0,9
"Hastings, NE",25580.0,2019-06-01,-16,0,-16
