YYYYMM,from_Total Perm,from_Total Temp,to_Total Perm,to_Total Temp,total_moves_from,total_moves_to,net_inflow,net_inflow_temp,net_inflow_perm
2019-01-01,98601,16848,93125,5989,115449,99114,-16335,-10859,-5476
2019-02-01,86711,5278,82662,4039,91989,86701,-5288,-1239,-4049
2019-03-01,96199,4597,92609,5392,100796,98001,-2795,795,-3590
2019-04-01,98012,5188,96707,12765,103200,109472,6272,7577,-1305
2019-05-01,101798,4991,98253,18407,106789,116660,9871,13416,-3545
2019-06-01,113913,6676,104581,10771,120589,115352,-5237,4095,-9332
2019-07-01,123341,5921,112537,7045,129262,119582,-9680,1124,-10804
2019-08-01,125522,5302,115596,5789,130824,121385,-9439,487,-9926
2019-09-01,106122,6555,98422,5849,112677,104271,-8406,-706,-7700
2019-10-01,101150,12258,93349,6371,113408,99720,-13688,-5887,-7801
2019-11-01,86848,9609,81190,6322,96457,87512,-8945,-3287,-5658
2019-12-01,82289,14402,76568,4705,96691,81273,-15418,-9697,-5721
2020-01-01,95164,15155,89543,5836,110319,95379,-14940,-9319,-5621
2020-02-01,86724,5252,82554,4020,91976,86574,-5402,-1232,-4170
2020-03-01,105066,42769,96723,26043,147835,122766,-25069,-16726,-8343
2020-04-01,88595,34400,79568,18495,122995,98063,-24932,-15905,-9027
2020-05-01,99360,23355,87677,15350,122715,103027,-19688,-8005,-11683
2020-06-01,117639,18137,101220,18806,135776,120026,-15750,669,-16419
2020-07-01,133177,12175,114080,12124,145352,126204,-19148,-51,-19097
2020-08-01,140899,9465,121768,8041,150364,129809,-20555,-1424,-19131
2020-09-01,129384,11555,112178,8806,140939,120984,-19955,-2749,-17206
2020-10-01,121737,15730,105782,8671,137467,114453,-23014,-7059,-15955
2020-11-01,107965,15961,95357,8115,123926,103472,-20454,-7846,-12608
2020-12-01,105547,19804,92962,7867,125351,100829,-24522,-11937,-12585
